LONG,LAT,ADMIN,TRIPS_WAIVER,TRIPS_WAIVER_1,LAST_UPDATED
-61.19376635,13.25480812,Saint Vincent and the Grenadines,1,Yes,
-172.1458821,-13.76075125,Samoa,1,Yes,
44.54714297,24.07547608,Saudi Arabia,3,Unknown,
-14.61087537,14.22886149,Senegal,1,Yes,
51.28904175,-6.847341132,Seychelles,1,Yes,
-11.80878157,8.543593293,Sierra Leone,1,Yes,
103.8102576,1.352825189,Singapore,0,No,
19.58101536,48.69808391,Slovakia,0,No,
14.8906369,46.1375923,Slovenia,0,No,
160.9666346,-9.760237066,Solomon Islands,1,Yes,
27.57823134,-32.72976617,South Africa,1,Yes,
127.6313876,36.05236464,South Korea,3,Unknown,
-2.942967336,40.03038548,Spain,0,No,
80.65376391,7.719586214,Sri Lanka,1,Yes,
-55.85551431,4.098723596,Suriname,1,Yes,
17.27728983,62.46541151,Sweden,0,No,
8.286928795,46.73678129,Switzerland,0,No,
70.94215281,38.56933138,Tajikistan,3,Unknown,
34.93574265,-6.353604204,Tanzania,1,Yes,
101.0686062,13.59647503,Thailand,1,Yes,
0.899085757,8.660743038,Togo,1,Yes,
-174.6821765,-20.05925094,Tonga,1,Yes,
-61.21970216,10.58005576,Trinidad and Tobago,1,Yes,
9.655875517,34.0863618,Tunisia,1,Yes,
35.09557206,39.09097225,Turkey,1,Yes,
32.34371768,1.282172922,Uganda,1,Yes,
31.27377208,48.65753252,Ukraine,1,Yes,
54.27920526,24.18250292,United Arab Emirates,3,Unknown,
-3.156995563,54.90083228,United Kingdom,0,No,
-100.84085,40.92577,United States of America,1,Yes,
-56.01919523,-32.78195044,Uruguay,3,Unknown,
168.034015,-16.47965833,Vanuatu,1,Yes,
-66.36112353,7.162820598,Venezuela,1,Yes,
108.485579,13.623617,Vietnam,1,Yes,
48.47121493,15.25059827,Yemen,1,Yes,
27.75521363,-13.16283295,Zambia,1,Yes,
29.71782964,-18.92700122,Zimbabwe,1,Yes,
